Full Room Label,Room Label,Area,Map ID,Room ID,X,Y,W,H,Suffix
"FadaFest Convention (X+0, Y-8) - yug761","FadaFest Convention (X+0, Y-8) - yug761",FadaFest Convention,dungeon3,yug761,0,-8,2,1,
"FadaFest Convention (X+2, Y-8) - yug50","FadaFest Convention (X+2, Y-8) - yug50",FadaFest Convention,dungeon3,yug50,2,-8,1,2,
"FadaFest Convention (X+4, Y-8) - ren878","FadaFest Convention (X+4, Y-8) - ren878",FadaFest Convention,dungeon3,ren878,4,-8,1,1,
"FadaFest Convention (X+5, Y-8) - yug64","FadaFest Convention (X+5, Y-8) - yug64",FadaFest Convention,dungeon3,yug64,5,-8,1,1,
"FadaFest Convention (X+6, Y-8) - yug100","FadaFest Convention (X+6, Y-8) - yug100",FadaFest Convention,dungeon3,yug100,6,-8,1,1,
"FadaFest Convention (X+7, Y-8) - lor336","FadaFest Convention (X+7, Y-8) - lor336",FadaFest Convention,dungeon3,lor336,7,-8,1,1,
"FadaFest Convention (X+0, Y-7) - yug221","FadaFest Convention (X+0, Y-7) - yug221",FadaFest Convention,dungeon3,yug221,0,-7,2,2,
"FadaFest Convention (X+4, Y-7) - yug183","FadaFest Convention (X+4, Y-7) - yug183",FadaFest Convention,dungeon3,yug183,4,-7,2,1,
"FadaFest Convention (X+6, Y-7) - yug98","FadaFest Convention (X+6, Y-7) - yug98",FadaFest Convention,dungeon3,yug98,6,-7,1,2,
"FadaFest Convention (X+7, Y-7) - yug142","FadaFest Convention (X+7, Y-7) - yug142",FadaFest Convention,dungeon3,yug142,7,-7,1,1,
"FadaFest Convention (X+2, Y-6) - yug1","FadaFest Convention (X+2, Y-6) - yug1",FadaFest Convention,dungeon3,yug1,2,-6,2,2,
"FadaFest Convention (X+4, Y-6) - yug43","FadaFest Convention (X+4, Y-6) - yug43",FadaFest Convention,dungeon3,yug43,4,-6,2,1,
"FadaFest Convention (X+7, Y-6) - yug137","FadaFest Convention (X+7, Y-6) - yug137",FadaFest Convention,dungeon3,yug137,7,-6,1,2,
"FadaFest Convention (X+0, Y-5) - lor2","FadaFest Convention (X+0, Y-5) - lor2",FadaFest Convention,dungeon3,lor2,0,-5,2,3,
"FadaFest Convention (X+4, Y-5) - yug135","FadaFest Convention (X+4, Y-5) - yug135",FadaFest Convention,dungeon3,yug135,4,-5,1,1,
"FadaFest Convention (X+5, Y-5) - yug228","FadaFest Convention (X+5, Y-5) - yug228",FadaFest Convention,dungeon3,yug228,5,-5,1,1,
"FadaFest Convention (X+6, Y-5) - lor420","FadaFest Convention (X+6, Y-5) - lor420",FadaFest Convention,dungeon3,lor420,6,-5,1,1,
"FadaFest Convention (X+2, Y-4) - lor161","FadaFest Convention (X+2, Y-4) - lor161",FadaFest Convention,dungeon3,lor161,2,-4,1,2,
"FadaFest Convention (X+3, Y-4) - ren818","FadaFest Convention (X+3, Y-4) - ren818",FadaFest Convention,dungeon3,ren818,3,-4,1,1,
"FadaFest Convention (X+4, Y-4) - ren543","FadaFest Convention (X+4, Y-4) - ren543",FadaFest Convention,dungeon3,ren543,4,-4,1,1,
"FadaFest Convention (X+5, Y-4) - ren428","FadaFest Convention (X+5, Y-4) - ren428",FadaFest Convention,dungeon3,ren428,5,-4,1,1,
"FadaFest Convention (X+6, Y-4) - lor108","FadaFest Convention (X+6, Y-4) - lor108",FadaFest Convention,dungeon3,lor108,6,-4,1,1,
"FadaFest Convention (X+7, Y-4) - ren239","FadaFest Convention (X+7, Y-4) - ren239",FadaFest Convention,dungeon3,ren239,7,-4,1,1,
"FadaFest Convention (X+3, Y-3) - ren527","FadaFest Convention (X+3, Y-3) - ren527",FadaFest Convention,dungeon3,ren527,3,-3,1,1,
"FadaFest Convention (X+4, Y-3) - lor133","FadaFest Convention (X+4, Y-3) - lor133",FadaFest Convention,dungeon3,lor133,4,-3,1,1,
"FadaFest Convention (X+5, Y-3) - lor103","FadaFest Convention (X+5, Y-3) - lor103",FadaFest Convention,dungeon3,lor103,5,-3,1,1,
"FadaFest Convention (X+6, Y-3) - lor99","FadaFest Convention (X+6, Y-3) - lor99",FadaFest Convention,dungeon3,lor99,6,-3,1,1,
"FadaFest Convention (X+7, Y-3) - lor106","FadaFest Convention (X+7, Y-3) - lor106",FadaFest Convention,dungeon3,lor106,7,-3,1,1,
"FadaFest Convention (X+0, Y-2) - lor1","FadaFest Convention (X+0, Y-2) - lor1",FadaFest Convention,dungeon3,lor1,0,-2,2,3,
"FadaFest Convention (X+2, Y-2) - lor75","FadaFest Convention (X+2, Y-2) - lor75",FadaFest Convention,dungeon3,lor75,2,-2,1,1,
"FadaFest Convention (X+3, Y-2) - lor64","FadaFest Convention (X+3, Y-2) - lor64",FadaFest Convention,dungeon3,lor64,3,-2,2,2,
"FadaFest Convention (X+5, Y-2) - lor81","FadaFest Convention (X+5, Y-2) - lor81",FadaFest Convention,dungeon3,lor81,5,-2,1,1,
"FadaFest Convention (X+6, Y-2) - lor110","FadaFest Convention (X+6, Y-2) - lor110",FadaFest Convention,dungeon3,lor110,6,-2,1,1,
"FadaFest Convention (X+7, Y-2) - lor116","FadaFest Convention (X+7, Y-2) - lor116",FadaFest Convention,dungeon3,lor116,7,-2,1,1,
"FadaFest Convention (X+2, Y-1) - lor3","FadaFest Convention (X+2, Y-1) - lor3",FadaFest Convention,dungeon3,lor3,2,-1,1,1,
"FadaFest Convention (X+5, Y-1) - ren327","FadaFest Convention (X+5, Y-1) - ren327",FadaFest Convention,dungeon3,ren327,5,-1,1,1,
"FadaFest Convention (X+6, Y-1) - lor118","FadaFest Convention (X+6, Y-1) - lor118",FadaFest Convention,dungeon3,lor118,6,-1,1,1,
"FadaFest Convention (X+7, Y-1) - ren335","FadaFest Convention (X+7, Y-1) - ren335",FadaFest Convention,dungeon3,ren335,7,-1,1,1,
"FadaFest Convention (X+2, Y+0) - yug763","FadaFest Convention (X+2, Y+0) - yug763",FadaFest Convention,dungeon3,yug763,2,0,1,1,
"FadaFest Convention (X+3, Y+0) - lor566","FadaFest Convention (X+3, Y+0) - lor566",FadaFest Convention,dungeon3,lor566,3,0,1,1,
"FadaFest Convention (X+4, Y+0) - lor76","FadaFest Convention (X+4, Y+0) - lor76",FadaFest Convention,dungeon3,lor76,4,0,1,1,
"FadaFest Convention (X+5, Y+0) - yug750","FadaFest Convention (X+5, Y+0) - yug750",FadaFest Convention,dungeon3,yug750,5,0,1,1,
"FadaFest Convention (X+6, Y+0) - yug752","FadaFest Convention (X+6, Y+0) - yug752",FadaFest Convention,dungeon3,yug752,6,0,1,1,
"FadaFest Convention (X+7, Y+0) - ren945","FadaFest Convention (X+7, Y+0) - ren945",FadaFest Convention,dungeon3,ren945,7,0,1,1,
"Fadalins Neighborhood (X+1, Y-15) - ren4961","Fadalins Neighborhood (X+1, Y-15) - ren4961",Fadalins Neighborhood,city,ren4961,1,-15,1,1,
"Fadalins Neighborhood (X+2, Y-15) - ren5026","Fadalins Neighborhood (X+2, Y-15) - ren5026",Fadalins Neighborhood,city,ren5026,2,-15,1,1,
"Fadalins Neighborhood (X+3, Y-15) - ren5061","Fadalins Neighborhood (X+3, Y-15) - ren5061",Fadalins Neighborhood,city,ren5061,3,-15,1,1,
"Fadalins Neighborhood (X+4, Y-15) - ren4894","Fadalins Neighborhood (X+4, Y-15) - ren4894",Fadalins Neighborhood,city,ren4894,4,-15,2,4,
"Fadalins Neighborhood (X+6, Y-15) - ren5063","Fadalins Neighborhood (X+6, Y-15) - ren5063",Fadalins Neighborhood,city,ren5063,6,-15,2,3,
"Fadalins Neighborhood (X+8, Y-15) - lor2641","Fadalins Neighborhood (X+8, Y-15) - lor2641",Fadalins Neighborhood,city,lor2641,8,-15,1,3,
"Fadalins Neighborhood (X+9, Y-15) - yug5291","Fadalins Neighborhood (X+9, Y-15) - yug5291",Fadalins Neighborhood,city,yug5291,9,-15,1,7,
"Fadalins Neighborhood (X+1, Y-14) - ren4952","Fadalins Neighborhood (X+1, Y-14) - ren4952",Fadalins Neighborhood,city,ren4952,1,-14,1,1,
"Fadalins Neighborhood (X+2, Y-14) - ren4960","Fadalins Neighborhood (X+2, Y-14) - ren4960",Fadalins Neighborhood,city,ren4960,2,-14,1,1,
"Fadalins Neighborhood (X+3, Y-14) - ren5031","Fadalins Neighborhood (X+3, Y-14) - ren5031",Fadalins Neighborhood,city,ren5031,3,-14,1,1,
"Fadalins Neighborhood (X+1, Y-13) - ren4933","Fadalins Neighborhood (X+1, Y-13) - ren4933",Fadalins Neighborhood,city,ren4933,1,-13,2,1,
"Fadalins Neighborhood (X+3, Y-13) - ren4930","Fadalins Neighborhood (X+3, Y-13) - ren4930",Fadalins Neighborhood,city,ren4930,3,-13,1,1,
"Fadalins Neighborhood (X+1, Y-12) - ren4873","Fadalins Neighborhood (X+1, Y-12) - ren4873",Fadalins Neighborhood,city,ren4873,1,-12,3,4,
"Fadalins Neighborhood (X+6, Y-12) - ren4889","Fadalins Neighborhood (X+6, Y-12) - ren4889",Fadalins Neighborhood,city,ren4889,6,-12,1,1,
"Fadalins Neighborhood (X+7, Y-12) - ren5069","Fadalins Neighborhood (X+7, Y-12) - ren5069",Fadalins Neighborhood,city,ren5069,7,-12,1,6,
"Fadalins Neighborhood (X+8, Y-12) - yug5318","Fadalins Neighborhood (X+8, Y-12) - yug5318",Fadalins Neighborhood,city,yug5318,8,-12,1,6,
"Fadalins Neighborhood (X+4, Y-11) - ren4879","Fadalins Neighborhood (X+4, Y-11) - ren4879",Fadalins Neighborhood,city,ren4879,4,-11,3,3,
"Fadalins Neighborhood (X+1, Y-8) - lor1096","Fadalins Neighborhood (X+1, Y-8) - lor1096",Fadalins Neighborhood,city,lor1096,1,-8,2,2,
"Fadalins Neighborhood (X+3, Y-8) - ren4861","Fadalins Neighborhood (X+3, Y-8) - ren4861",Fadalins Neighborhood,city,ren4861,3,-8,4,2,
"Fadalins Neighborhood (X+9, Y-8) - yug5567","Fadalins Neighborhood (X+9, Y-8) - yug5567",Fadalins Neighborhood,city,yug5567,9,-8,1,1,
"Fadalins Neighborhood (Interiors) (X+6, Y-15) - ren1022","Fadalins Neighborhood (Interiors) (X+6, Y-15) - ren1022",Fadalins Neighborhood (Interiors),city_interiors,ren1022,6,-15,1,1,
"Fadalins Neighborhood (Interiors) (X+5, Y-13) - yug409","Fadalins Neighborhood (Interiors) (X+5, Y-13) - yug409",Fadalins Neighborhood (Interiors),city_interiors,yug409,5,-13,1,1,
"Fadalins Neighborhood (Interiors) (X+5, Y-11) - lor334","Fadalins Neighborhood (Interiors) (X+5, Y-11) - lor334",Fadalins Neighborhood (Interiors),city_interiors,lor334,5,-11,1,1,
"Fadalins Neighborhood (Interiors) (X+4, Y-10) - lor442","Fadalins Neighborhood (Interiors) (X+4, Y-10) - lor442",Fadalins Neighborhood (Interiors),city_interiors,lor442,4,-10,1,1,
"Fadalins Neighborhood (Interiors) (X+3, Y-8) - lor268","Fadalins Neighborhood (Interiors) (X+3, Y-8) - lor268",Fadalins Neighborhood (Interiors),city_interiors,lor268,3,-8,1,1,
"Fadalins Neighborhood (Sewers) (X+2, Y-16) - ren1669","Fadalins Neighborhood (Sewers) (X+2, Y-16) - ren1669",Fadalins Neighborhood (Sewers),city_underground,ren1669,2,-16,2,2,
"Fadalins Neighborhood (Sewers) (X+4, Y-16) - ren1673","Fadalins Neighborhood (Sewers) (X+4, Y-16) - ren1673",Fadalins Neighborhood (Sewers),city_underground,ren1673,4,-16,2,1,
"Fadalins Neighborhood (Sewers) (X+1, Y-15) - ren1638","Fadalins Neighborhood (Sewers) (X+1, Y-15) - ren1638",Fadalins Neighborhood (Sewers),city_underground,ren1638,1,-15,1,1,
"Fadalins Neighborhood (Sewers) (X+4, Y-15) - ren1660","Fadalins Neighborhood (Sewers) (X+4, Y-15) - ren1660",Fadalins Neighborhood (Sewers),city_underground,ren1660,4,-15,2,1,
"Fadalins Neighborhood (Sewers) (X+6, Y-15) - yug1615","Fadalins Neighborhood (Sewers) (X+6, Y-15) - yug1615",Fadalins Neighborhood (Sewers),city_underground,yug1615,6,-15,1,1,
"Fadalins Neighborhood (Sewers) (X+2, Y-14) - ren1782","Fadalins Neighborhood (Sewers) (X+2, Y-14) - ren1782",Fadalins Neighborhood (Sewers),city_underground,ren1782,2,-14,1,1,
"Fadalins Neighborhood (Sewers) (X+3, Y-14) - lor242","Fadalins Neighborhood (Sewers) (X+3, Y-14) - lor242",Fadalins Neighborhood (Sewers),city_underground,lor242,3,-14,1,1,
"Fadalins Neighborhood (Sewers) (X+4, Y-14) - ren1663","Fadalins Neighborhood (Sewers) (X+4, Y-14) - ren1663",Fadalins Neighborhood (Sewers),city_underground,ren1663,4,-14,1,1,
"Fadalins Neighborhood (Sewers) (X+5, Y-14) - ren3871","Fadalins Neighborhood (Sewers) (X+5, Y-14) - ren3871",Fadalins Neighborhood (Sewers),city_underground,ren3871,5,-14,1,1,
"Fadalins Neighborhood (Sewers) (X+6, Y-14) - ren3560","Fadalins Neighborhood (Sewers) (X+6, Y-14) - ren3560",Fadalins Neighborhood (Sewers),city_underground,ren3560,6,-14,1,1,
