Room Label,Type,Map Name,Name,Location,Object Ids,✅,❌,Edit,Rules,Rule 1,Rule 2,Rule 3,Rule 4,Rule 5,Rule 6,Rule 7,"Badge (SS[+], Moon, Turret, Wing)",Offstring Throw,Walk-the-Dog,Wall-Dash,UFO Throw,Wall Ride,"Move (Sleeper+AtW/Parry, Coin-Flip[+Prodigy], Cat's Cradle)",Other,Notes
"Abandoned Tunnels (X+0, Y+1) - ren12",Location,Moneybag 1,,Abandoned Tunnels,ren13,FALSE,FALSE,8/31/2026 17:07:14,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Abandoned Tunnels (X+1, Y+1) - ren22",Location,Moneybag 2,,Abandoned Tunnels,lor167,FALSE,FALSE,8/31/2026 17:07:14,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Safe House (X+0, Y+0) - mig38",Location,Badge (Eye),Badge,,lor119,TRUE,FALSE,9/1/2026 23:38:24,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-1, Y+4) - lor2248 (Southeast)",Location,Badge (Golden),Badge,,yug4337,TRUE,FALSE,9/1/2026 23:38:28,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-1, Y-6) - ren355 (West)",Location,Badge (Hellhound),Badge,South Plaza,yug3158,TRUE,TRUE,9/1/2026 23:38:30,FALSE,,,,,,,,,,,,,,,,Only accessible from Gallineiros District
"South Plaza (X-2, Y+4) - yug5210",Location,Badge (Pitcher's),Badge,South Plaza,yug5250,TRUE,FALSE,9/1/2026 23:38:33,TRUE,Key 1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Key 1,
"South Plaza (X+2, Y+4) - yug5154",Location,BP Shard 1,BP Shard,South Plaza,yug5202,TRUE,FALSE,8/1/2026 21:15:24,TRUE,ufo,ride,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,
"South Plaza (X-2, Y-3) - ren223 (Main)",Event,Combat 1 (optional),Combat (optional),South Plaza,ren4804,TRUE,FALSE,9/1/2026 23:26:16,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-2, Y-3) - ren223 (Main)",Location,Combat 1 (optional),Combat (optional) - Reward,South Plaza,ren4805,TRUE,FALSE,9/1/2026 23:26:23,TRUE,Combat 1 (optional),,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 1,1x moneybag
"South Plaza (X-3, Y+3) - ren4152",Event,Combat 2,Combat,South Plaza,lor2079,TRUE,FALSE,8/2/2026 21:40:14,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-3, Y+3) - ren4152",Location,Combat 2,Combat - Reward,South Plaza,lor2096,TRUE,FALSE,8/2/2026 21:40:12,TRUE,Combat 2,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 2,1x moneybag
"South Plaza (X-3, Y+4) - yug4930",Event,Combat 3,Combat,South Plaza,yug4954,TRUE,FALSE,7/23/2026 19:20:29,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Key 1
"South Plaza (X-1, Y+4) - lor2248 (South)",Location,Diamond 1,Diamond,South Plaza,lor2469,TRUE,FALSE,8/8/2026 19:28:16,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-3, Y+4) - yug4930",Event,Key 1,Key,South Plaza,yug4979,TRUE,FALSE,8/1/2026 21:15:38,TRUE,Combat 3,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 3,
"South Plaza (X-2, Y-3) - ren223 (Main)",Event,Lever 1,Right Lever,South Plaza,yug5535,TRUE,FALSE,7/23/2026 19:22:06,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-2, Y-3) - ren223 (Main)",Event,Lever 2,Left Lever,South Plaza,yug5536,TRUE,FALSE,7/23/2026 19:22:11,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-1, Y+4) - lor2248 (Southeast Entrance)",Event,Lever 3,Lever,South Plaza,lor3247,TRUE,FALSE,8/7/2026 11:55:40,TRUE,ss,"dog, ride",dash,ufo,,,,Skipping Stone,FALSE,Wall-Ride,TRUE,TRUE,FALSE,FALSE,FALSE,
"South Plaza (X-2, Y-3) - ren223 (Southeast)",Event,Mole Brother 1,Mole Brother,South Plaza,lor1227,TRUE,FALSE,9/1/2026 23:36:20,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-2, Y-3) - ren223 (Main)",Location,Moneybag 1,Money Bag 1,South Plaza,lor380,TRUE,FALSE,7/25/2026 20:43:31,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-2, Y-3) - ren223 (Main)",Location,Moneybag 2,Money Bag 2,South Plaza,lor397,TRUE,FALSE,,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Hidden behind statue
"South Plaza (X-2, Y-3) - ren223 (Main)",Location,Moneybag 3,Money Bag 3,South Plaza,cap369,TRUE,FALSE,7/25/2026 18:56:11,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-2, Y-3) - ren223 (Main)",Location,Moneybag 4,Money Bag 4,South Plaza,ren4803,TRUE,FALSE,8/1/2026 21:17:12,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-2, Y-3) - ren223 (Southwest)",Location,Moneybag 5,Money Bag 5,South Plaza,lor3388,TRUE,FALSE,7/25/2026 12:06:18,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-2, Y-3) - ren223 (Main)",Location,Moneybag 6,Money Bag 6,South Plaza,yug2147,TRUE,FALSE,9/4/2026 2:06:32,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Technically in SE region, but collectable with suicide jump"
"South Plaza (X-1, Y-6) - ren355 (East)",Location,Moneybag 7,Money Bag 2,South Plaza,lor1120,TRUE,FALSE,8/4/2026 17:26:00,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-1, Y-6) - ren355 (South)",Location,Moneybag 8,Money Bag 1,South Plaza,lor3013,TRUE,FALSE,,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Behind sign
"South Plaza (X-1, Y+4) - lor2248 (North)",Location,Moneybag 9,Money Bag,South Plaza,yug5046,TRUE,FALSE,7/25/2026 20:43:55,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X+1, Y+4) - yug4939 (West)",Location,Moneybag 10,Money Bag,South Plaza,"yug5160,yug5162",TRUE,FALSE,,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2x money bag (winged)
"South Plaza (X+1, Y+4) - yug4939 (West)",Location,Moneybag 11,Money Bag 3,South Plaza,yug5203,TRUE,FALSE,8/31/2026 0:31:33,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Left moneybag, just suicide jump off"
"South Plaza (X+1, Y+4) - yug4939 (East)",Location,Moneybag 12,Money Bag 4,South Plaza,yug5166,TRUE,FALSE,7/25/2026 20:44:19,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Right moneybag
"South Plaza (X-2, Y-3) - ren223 (South)",Event,Musical Notes 1,Left Musical Notes,South Plaza,yug5074,TRUE,FALSE,8/1/2026 21:19:08,TRUE,off,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"South Plaza (X-2, Y-3) - ren223 (South)",Location,Musical Notes 1,Left Musical Notes - Reward,South Plaza,"yug5100,yug5101,yug5102,yug5103",TRUE,FALSE,8/6/2026 21:11:11,TRUE,Musical Notes 1,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Musical Notes 1,4x moneybag
"South Plaza (X-2, Y-3) - ren223 (South)",Event,Musical Notes 2,Right Musical Notes,South Plaza,yug5127,TRUE,FALSE,8/19/2026 17:01:47,TRUE,off,"expert, atw","expert, ride",,,,,FALSE,TRUE,FALSE,FALSE,FALSE,Expert diff,Around the World (Expert diff),FALSE,"Possible with just Wall-Ride, but hard"
"South Plaza (X-2, Y-3) - ren223 (South)",Location,Musical Notes 2,Right Musical Notes - Reward,South Plaza,"yug5144,yug5146,yug5147",TRUE,FALSE,8/6/2026 21:11:32,TRUE,Musical Notes 2,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Musical Notes 2,"3x moneybag, wall-ride is hard"
"South Plaza (X-2, Y-3) - ren223 (Main)",Location,Petal Container 1,Petal Container,South Plaza,yug5534,TRUE,FALSE,8/1/2026 21:25:00,TRUE,"Lever 1, Lever 2",,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Lever 1 AND Lever 2,
"South Plaza (X-2, Y-3) - ren223 (Main)",Event,Quest (Burger 1),Burger Quest,South Plaza,yug3946,TRUE,FALSE,8/3/2026 16:04:22,TRUE,[SP-I] Burger,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Burger,Assumes no ER (entrance rando)
"South Plaza (X-2, Y-3) - ren223 (Main)",Location,Quest (Burger 1),Burger Quest - Reward,South Plaza,"yug5539,yug5540,yug5541,yug5545",TRUE,FALSE,8/6/2026 21:11:34,TRUE,Quest (Burger 1),,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Quest (Burger 1),4x money bag
"South Plaza (X-2, Y-3) - ren223 (Main)",Location,Taxi Phone 1,Taxi Phone,South Plaza,lor2057,TRUE,FALSE,8/1/2026 21:25:45,TRUE,$100,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Costs $100,
"South Plaza (Interiors) (X-1, Y+1) - ren85",Event,Burger,Burger,South Plaza (Interiors),yug421,TRUE,FALSE,8/1/2026 21:25:46,TRUE,$15,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Costs $15,
"South Plaza (Sewers) (X-1, Y-5) - ren984",Event,Lever 1,Right Lever,South Plaza (Sewers),lor228,TRUE,FALSE,8/1/2026 21:26:24,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"South Plaza (Sewers) (X-1, Y-5) - ren984",Event,Lever 2,Left Lever,South Plaza (Sewers),lor227,TRUE,FALSE,8/1/2026 21:26:19,TRUE,ss+,dog,"dash,ss",ufo,"ride, ss",,,Skipping Stone+,FALSE,TRUE,Skipping Stone,TRUE,Skipping Stone,FALSE,FALSE,
"South Plaza (Sewers) (X-1, Y+5) - yug1700 (East)",Location,Moneybag 1,Money Bag,South Plaza (Sewers),"yug2209,yug2291,yug2292",TRUE,FALSE,8/7/2026 11:12:29,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3x moneybag
"South Plaza (Sewers) (X-1, Y+5) - yug1700 (East)",Location,Petal Container 1,Petal Container,South Plaza (Sewers),yug2063,TRUE,FALSE,8/7/2026 11:12:29,TRUE,"off,dog","off,ride",,,,,,FALSE,Walk-the-Dog OR Wall Ride,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Rule is from yug1700 (East)
"Faria Slimer Borough (X+6, Y-5) - yug23",Event,Ability Learned 1,Ability Learned (Around-the-World),Faria Slimer Borough,yug1391,TRUE,FALSE,8/8/2026 19:46:42,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Mod should disable this. Set flag """"g:city/yug1405:used"""" to 1 (remove trigger area) and ""g:tutorialSpin"" to 1 (to disable tutorial)"
"Faria Slimer Borough (X+2, Y+1) - yug219 (Main)",Event,Apple 1,South Apple,Faria Slimer Borough,lor697,TRUE,FALSE,8/7/2026 11:04:30,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+2, Y+1) - yug219 (Main)",Event,Apple 2,Northwest Apple,Faria Slimer Borough,lor644,TRUE,FALSE,8/7/2026 11:04:32,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+2, Y+1) - yug219 (Main)",Event,Apple 3,Southwest Apple,Faria Slimer Borough,lor645,TRUE,FALSE,8/7/2026 11:04:33,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+9, Y-4) - yug3345",Location,Badge (Mist),Badge,Faria Slimer Borough,yug3922,TRUE,FALSE,8/5/2026 19:32:04,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Press buttons + minor combat
"Faria Slimer Borough (X+6, Y+3) - yug2099 (North)",Location,Badge (Whip),Badge,Faria Slimer Borough,ren4858,TRUE,FALSE,8/8/2026 19:05:26,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+10, Y-3) - yug60",Event,Bomb 1,Bomb,Faria Slimer Borough,yug2380,TRUE,FALSE,8/3/2026 16:01:08,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+3, Y-4) - yug19",Event,Combat 1,Combat,Faria Slimer Borough,yug1153,TRUE,FALSE,8/19/2026 13:34:58,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+3, Y-4) - yug19",Location,Combat 1,Combat - Reward,Faria Slimer Borough,yug1200,TRUE,FALSE,8/2/2026 21:40:28,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 1,1x money bag
"Faria Slimer Borough (X+5, Y-4) - yug190",Event,Combat 2,Combat,Faria Slimer Borough,yug1453,TRUE,FALSE,8/3/2026 15:39:43,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Only drops coins as prize
"Faria Slimer Borough (X+9, Y-4) - yug3345",Event,Combat 3,Combat ,Faria Slimer Borough,yug3626,TRUE,FALSE,8/4/2026 16:58:22,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Only drops lots of coins as prize
"Faria Slimer Borough (X+8, Y-4) - yug169",Event,Combat 4,Combat,Faria Slimer Borough,yug2655,TRUE,FALSE,8/4/2026 17:31:36,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+8, Y-4) - yug169",Location,Combat 4,Combat - Reward,Faria Slimer Borough,yug2697,TRUE,FALSE,8/4/2026 17:32:46,TRUE,Combat 4,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 4,Also drops 2 winged coins
"Faria Slimer Borough (X+7, Y+4) - yug4153 (South)",Event,Combat 5,Combat,Faria Slimer Borough,yug4183,TRUE,FALSE,8/6/2026 22:42:53,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+3, Y+4) - yug4250",Event,Combat 6,Combat,Faria Slimer Borough,lor3427,TRUE,FALSE,8/16/2026 13:46:17,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+3, Y+4) - yug4250",Location,Combat 6,Combat - Reward,Faria Slimer Borough,yug4284,TRUE,FALSE,8/7/2026 0:32:39,TRUE,Combat 6,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 6,
"Faria Slimer Borough (X+2, Y+3) - yug1",Event,Combat 7,Combat ,Faria Slimer Borough,yug1774,TRUE,FALSE,8/7/2026 1:54:53,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+2, Y+3) - yug1",Location,Combat 7,Combat - Reward,Faria Slimer Borough,lor2419,TRUE,FALSE,8/7/2026 1:55:28,TRUE,Combat 7,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 7,
"Faria Slimer Borough (X+5, Y+3) - yug2165",Event,Combat 8,Combat,Faria Slimer Borough,yug2183,TRUE,FALSE,8/8/2026 19:08:54,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+5, Y+3) - yug2165",Location,Combat 8,Combat - Reward,Faria Slimer Borough,"yug2231,yug3087",TRUE,FALSE,8/8/2026 19:09:54,TRUE,Combat 8,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 8,
"Faria Slimer Borough (X+6, Y-4) - yug187",Event,Key 1,Key,Faria Slimer Borough,lor884,TRUE,FALSE,8/6/2026 22:42:20,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Key hidden in crate
"Faria Slimer Borough (X+7, Y+4) - yug4153 (South)",Event,Key 2,Key,Faria Slimer Borough,yug4159,TRUE,FALSE,8/6/2026 22:45:14,TRUE,Combat 5,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Combat 5,
"Faria Slimer Borough (X+2, Y-2) - yug2715",Event,Lever 1,Left Lever,Faria Slimer Borough,yug2730,TRUE,FALSE,9/2/2026 0:04:38,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+2, Y-2) - yug2715",Event,Lever 2,Right Lever,Faria Slimer Borough,yug2731,TRUE,FALSE,9/2/2026 0:04:38,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+2, Y-2) - yug2715",Event,Lever 3,Far Lever,Faria Slimer Borough,yug2732,TRUE,FALSE,8/2/2026 18:51:53,TRUE,"off, Lever 1, Lever 2","ride, Lever 1, Lever 2",,,,,,FALSE,Lever 1 AND Lever 2,FALSE,FALSE,FALSE,Lever 1 AND Lever 2,FALSE,FALSE,
"Faria Slimer Borough (X+4, Y-5) - yug208 (North)",Event,Lever 4,Lever,Faria Slimer Borough,lor753,TRUE,FALSE,8/2/2026 22:10:04,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+7, Y+3) - yug9",Event,Lever 5,Lever,Faria Slimer Borough,yug2265,TRUE,FALSE,8/8/2026 19:15:01,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+7, Y-4) - yug202 (West Alcove)",Event,Mole Brother 2,Mole Brother,Faria Slimer Borough,lor1228,TRUE,FALSE,9/1/2026 23:36:28,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+3, Y-2) - yug259",Location,Moneybag 1,Money Bag,Faria Slimer Borough,yug2701,TRUE,FALSE,8/21/2026 19:08:32,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+4, Y+0) - yug27 (Main)",Location,Moneybag 2,Money Bag 1,Faria Slimer Borough,lor2188,TRUE,FALSE,9/1/2026 23:37:11,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+4, Y+0) - yug27 (Main)",Location,Moneybag 3,Money Bag 2,Faria Slimer Borough,yug2104,TRUE,FALSE,9/1/2026 23:37:14,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+4, Y+0) - yug27 (Main)",Location,Moneybag 4,Money Bag 3,Faria Slimer Borough,yug903,TRUE,FALSE,9/1/2026 23:37:28,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+4, Y-3) - yug2741 (Main)",Location,Moneybag 5,Money Bag 1,Faria Slimer Borough,yug2796,TRUE,FALSE,9/1/2026 23:37:54,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+4, Y-3) - yug2741 (East Alcove)",Location,Moneybag 6,Money Bag 2,Faria Slimer Borough,yug2821,TRUE,FALSE,9/1/2026 23:37:57,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+3, Y-5) - yug20",Location,Moneybag 7,Money Bag,Faria Slimer Borough,yug1734,TRUE,FALSE,8/2/2026 21:03:17,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+4, Y-6) - yug173",Location,Moneybag 8,Money Bag,Faria Slimer Borough,yug2435,TRUE,FALSE,8/2/2026 22:07:07,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+8, Y-6) - yug3298",Location,Moneybag 9,Money Bag,Faria Slimer Borough,yug3316,TRUE,FALSE,8/4/2026 17:50:01,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+8, Y-3) - yug108 (Northwest)",Location,Moneybag 10,Money Bag,Faria Slimer Borough,yug2607,TRUE,FALSE,8/4/2026 17:53:09,TRUE,dash,ufo,ride,,,,,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,
"Faria Slimer Borough (X+10, Y-1) - yug61 (West Alcove)",Location,Moneybag 11,Money Bag 1,Faria Slimer Borough,yug1755,TRUE,FALSE,9/2/2026 0:16:58,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+10, Y+0) - yug55",Location,Moneybag 12,Money Bag,Faria Slimer Borough,lor2327,TRUE,FALSE,8/5/2026 18:57:08,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+10, Y-1) - yug61 (Main)",Location,Moneybag 13,Money Bag 2,Faria Slimer Borough,yug2599,TRUE,FALSE,9/2/2026 0:16:59,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+10, Y+2) - lor2334 (Northeast)",Location,Moneybag 14,Money Bag,Faria Slimer Borough,"yug4335,yug4336",TRUE,FALSE,9/1/2026 23:40:25,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
"Faria Slimer Borough (X+10, Y+4) - yug4122",Location,Moneybag 15,Money Bag,Faria Slimer Borough,"yug4760,yug5561",TRUE,FALSE,9/1/2026 23:40:29,TRUE,dog,"dash, ss+","ride, ss",,,,,FALSE,FALSE,TRUE,Skipping Stone+,FALSE,Skipping Stone,FALSE,FALSE,
"Faria Slimer Borough (X+7, Y+4) - yug4153 (South)",Location,Moneybag 16,Money Bag,Faria Slimer Borough,yug4556,TRUE,FALSE,8/6/2026 22:42:02,FALSE,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
